,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout,param_hidden_layers,param_number_of_nodes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,8.299357509613037,0.17148915613098248,0.1260385513305664,0.0038754821564192035,relu,0,2,10,"{'activation': 'relu', 'dropout': 0, 'hidden_layers': 2, 'number_of_nodes': 10}",0.910937488079071,0.989062488079071,0.9203125238418579,0.9750000238418579,0.940625011920929,0.9471875071525574,0.030352743093935177,11
1,8.733010816574097,0.21288628347450972,0.12580008506774903,0.0036504625264876765,relu,0,2,20,"{'activation': 'relu', 'dropout': 0, 'hidden_layers': 2, 'number_of_nodes': 20}",0.8999999761581421,0.918749988079071,0.9750000238418579,0.918749988079071,0.9593750238418579,0.934375,0.02809027594535743,18
2,11.596337032318115,2.0259015803389393,0.18810710906982422,0.10896219440184861,relu,0,2,40,"{'activation': 'relu', 'dropout': 0, 'hidden_layers': 2, 'number_of_nodes': 40}",0.989062488079071,0.9125000238418579,0.9781249761581421,0.96875,0.949999988079071,0.9596874952316284,0.026853175422548742,7
3,9.053503227233886,0.5351117673822248,0.13619599342346192,0.003537277004053653,relu,0,3,10,"{'activation': 'relu', 'dropout': 0, 'hidden_layers': 3, 'number_of_nodes': 10}",0.8968750238418579,0.984375,0.9906250238418579,0.9859374761581421,0.940625011920929,0.9596875071525574,0.03623382369803163,6
4,9.37903881072998,0.4157987891533241,0.13733792304992676,0.00879865174367785,relu,0,3,20,"{'activation': 'relu', 'dropout': 0, 'hidden_layers': 3, 'number_of_nodes': 20}",0.96875,0.9859374761581421,0.932812511920929,0.9375,0.984375,0.9618749976158142,0.022677245080508675,4
5,10.401451301574706,0.7208893542825151,0.13165779113769532,0.003222167045564334,relu,0,3,40,"{'activation': 'relu', 'dropout': 0, 'hidden_layers': 3, 'number_of_nodes': 40}",0.96875,0.800000011920929,0.9203125238418579,0.965624988079071,0.9624999761581421,0.9234375,0.06419573629071784,24
6,9.257191038131714,0.390456015870279,0.22472043037414552,0.13522403917303655,relu,0,4,10,"{'activation': 'relu', 'dropout': 0, 'hidden_layers': 4, 'number_of_nodes': 10}",0.973437488079071,0.979687511920929,0.925000011920929,0.989062488079071,0.9390624761581421,0.9612499952316285,0.024772400184988365,5
7,9.967470359802245,0.2090283898350988,0.14921026229858397,0.021541059492565205,relu,0,4,20,"{'activation': 'relu', 'dropout': 0, 'hidden_layers': 4, 'number_of_nodes': 20}",0.8968750238418579,0.925000011920929,0.984375,0.934374988079071,0.9375,0.9356250047683716,0.028270449868155023,17
8,10.705512046813965,0.057941513188734785,0.21146039962768554,0.14615530542938884,relu,0,4,40,"{'activation': 'relu', 'dropout': 0, 'hidden_layers': 4, 'number_of_nodes': 40}",0.971875011920929,0.965624988079071,0.987500011920929,0.9750000238418579,0.973437488079071,0.9746875047683716,0.007153458942217019,1
9,8.399767923355103,0.2815423050000443,0.1265944480895996,0.003017635546126555,relu,0.1,2,10,"{'activation': 'relu', 'dropout': 0.1, 'hidden_layers': 2, 'number_of_nodes': 10}",0.909375011920929,0.918749988079071,0.925000011920929,0.917187511920929,0.9828125238418579,0.9306250095367432,0.02656434498718825,20
10,8.78745698928833,0.2616132949903251,0.1291264057159424,0.005411636995535156,relu,0.1,2,20,"{'activation': 'relu', 'dropout': 0.1, 'hidden_layers': 2, 'number_of_nodes': 20}",0.9828125238418579,0.918749988079071,0.926562488079071,0.921875,0.9703124761581421,0.9440624952316284,0.02694395824401937,12
11,9.335103273391724,0.46158529212800226,0.1262153148651123,0.0016965288098242596,relu,0.1,2,40,"{'activation': 'relu', 'dropout': 0.1, 'hidden_layers': 2, 'number_of_nodes': 40}",0.9156249761581421,0.9156249761581421,0.9203125238418579,0.9156249761581421,0.964062511920929,0.9262499928474426,0.018993225507105374,21
12,8.816534614562988,0.3569891345026224,0.1339097499847412,0.002417765940968232,relu,0.1,3,10,"{'activation': 'relu', 'dropout': 0.1, 'hidden_layers': 3, 'number_of_nodes': 10}",0.7328125238418579,0.921875,0.971875011920929,0.9203125238418579,0.942187488079071,0.8978125095367432,0.0845749872602729,43
13,9.197034740447998,0.2430124082322574,0.13200793266296387,0.001411887002417654,relu,0.1,3,20,"{'activation': 'relu', 'dropout': 0.1, 'hidden_layers': 3, 'number_of_nodes': 20}",0.932812511920929,0.926562488079071,0.9203125238418579,0.909375011920929,0.9296875,0.9237500071525574,0.008291557662741908,23
14,10.115068340301514,0.3842534121940736,0.14579873085021972,0.030617742702335155,relu,0.1,3,40,"{'activation': 'relu', 'dropout': 0.1, 'hidden_layers': 3, 'number_of_nodes': 40}",0.9312499761581421,0.9593750238418579,0.918749988079071,0.981249988079071,0.9828125238418579,0.9546875,0.025920562901790626,9
15,8.932432842254638,0.1633195281464676,0.1365818500518799,0.00257899614572847,relu,0.1,4,10,"{'activation': 'relu', 'dropout': 0.1, 'hidden_layers': 4, 'number_of_nodes': 10}",0.8999999761581421,0.9078124761581421,0.9281250238418579,0.9468749761581421,0.940625011920929,0.9246874928474427,0.018178807539365925,22
16,10.103670215606689,0.18778152810250248,0.139788818359375,0.009205185612238414,relu,0.1,4,20,"{'activation': 'relu', 'dropout': 0.1, 'hidden_layers': 4, 'number_of_nodes': 20}",0.903124988079071,0.940625011920929,0.9375,0.9312499761581421,0.9437500238418579,0.93125,0.01465755941565676,19
