,l1_pt,l2_pt,l3_pt,l4_pt,l1_mass,l2_mass,l3_mass,l4_mass,l1_eta,l2_eta,l3_eta,l4_eta,l1_phi,l2_phi,l3_phi,l4_phi,event_type,weight,invariant_mass,invariant_mass_1,invariant_mass_2
0,40.631561279296875,66.14360046386719,28.67986297607422,50.90591812133789,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.8787841796875,1.926025390625,1.049560546875,0.441650390625,0.6363525390625,-0.8629150390625,2.30224609375,3.134765625,4Muon,1.0,222.11799711781003,90.65193149113986,38.873722663420594
1,61.86809539794922,38.43147659301758,36.98311996459961,52.97751235961914,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.45166015625,1.184814453125,-1.965087890625,-2.00537109375,1.410400390625,-0.9189453125,1.810546875,-1.679443359375,4Muon,1.0,523.8597895524923,90.53601254038547,87.20593180032567
0,40.29989242553711,144.6499786376953,29.2181453704834,58.16053009033203,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.7628173828125,-0.480224609375,0.8802490234375,-0.05596160888671875,0.48046875,1.841064453125,-2.3642578125,-0.548583984375,4Muon,1.0,282.65586523361446,98.46187926420562,76.31614798167493
1,14.999124526977539,100.58769989013672,32.19251251220703,54.70286560058594,0.105712890625,0.105712890625,-0.004596710205078125,-0.0248870849609375,-2.1923828125,-1.1435546875,0.49481201171875,-1.3544921875,-2.35009765625,0.760986328125,-1.826416015625,-2.7197265625,2Electron2Muon,1.0,261.82948915631414,88.60598052442649,96.23587123412057
2,35.946388244628906,23.058460235595703,24.026084899902344,48.75703430175781,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.496337890625,-0.5606689453125,-1.336669921875,0.39947509765625,-3.10986328125,-0.096588134765625,0.283203125,2.56591796875,4Muon,1.0,204.37695477075923,90.7410025745553,91.57195806110184
3,34.752288818359375,64.42478942871094,24.70973014831543,37.00767135620117,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.2640380859375,-0.31475830078125,1.4501953125,0.193115234375,-1.046630859375,2.36376953125,2.84326171875,0.24932861328125,4Muon,1.0,191.76897128537055,93.81157796490383,70.96480385164784
0,42.9930534362793,24.741411209106445,12.803688049316406,12.097917556762695,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.362548828125,-0.86328125,-0.1036224365234375,-0.25457763671875,-1.59326171875,0.886962890625,3.1279296875,0.97021484375,4Muon,1.0,103.75126704512324,74.93424876393382,22.02087696780829
1,19.72883415222168,24.48166847229004,36.655006408691406,68.04159545898438,0.105712890625,0.105712890625,0.015411376953125,-0.0460205078125,-0.7261962890625,2.2451171875,0.92041015625,1.66943359375,2.6025390625,2.1767578125,-2.35546875,-0.37591552734375,2Electron2Muon,1.0,220.5851546674874,92.5845362720664,91.85137536117081
2,31.68353843688965,22.715282440185547,17.62801170349121,12.935302734375,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.0625,-1.818603515625,-0.40948486328125,-1.8134765625,-0.37890625,2.634765625,1.958984375,-2.06494140625,4Muon,1.0,97.85009799637767,57.432484616114344,35.6953575024487
0,58.858604431152344,38.44663619995117,5.6971116065979,42.30487823486328,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.38897705078125,-0.694091796875,1.583740234375,-2.03173828125,0.6114501953125,3.013671875,-0.4453125,-1.9189453125,4Muon,1.0,212.2474815452047,89.90139588486973,94.4356105976586
