,l1_pt,l2_pt,l3_pt,l4_pt,l1_mass,l2_mass,l3_mass,l4_mass,l1_eta,l2_eta,l3_eta,l4_eta,l1_phi,l2_phi,l3_phi,l4_phi,event_type,weight,invariant_mass,invariant_mass_1,invariant_mass_2
0,37.11787414550781,95.85777282714844,81.21514892578125,26.71131706237793,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.53857421875,-1.838134765625,0.930419921875,1.40869140625,-1.306640625,-3.083984375,0.651123046875,-1.458251953125,4Muon,1.0,524.1635448786086,94.32472839115732,84.08277936190062
1,24.23586654663086,55.431087493896484,28.298398971557617,15.20920467376709,0.105712890625,0.105712890625,-0.00818634033203125,-0.004528045654296875,-0.1990966796875,-1.314453125,0.46844482421875,0.931396484375,-2.58154296875,-0.422607421875,1.755615234375,2.611328125,2Muon2Electron,1.0,175.0580498203748,77.64922864683832,19.75579482482213
2,66.99034118652344,31.400978088378906,51.88285827636719,36.89792251586914,0.105712890625,0.105712890625,0.0020618438720703125,0.01317596435546875,0.310791015625,-0.39923095703125,-0.9610595703125,-0.856689453125,-2.837890625,0.22430419921875,0.93408203125,-2.29833984375,2Electron2Muon,1.0,215.3976751928638,97.50279774869577,87.53610070438666
0,42.77405548095703,43.4351806640625,63.787235260009766,27.885589599609375,0.105712890625,0.105712890625,0.0225830078125,0.0074615478515625,-2.39111328125,-1.366943359375,-1.132568359375,-1.72265625,-1.688232421875,2.2783203125,0.151123046875,-2.9150390625,2Electron2Muon,1.0,200.36021285945918,91.44680344150711,87.99096961802671
1,36.24431610107422,14.435615539550781,8.665118217468262,14.142934799194336,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.34912109375,1.647705078125,2.291015625,0.944091796875,0.8033447265625,-2.70947265625,-2.42333984375,-3.11767578125,4Muon,1.0,91.40187891960106,55.09126856443946,17.74294250404705
2,53.38835144042969,29.058454513549805,23.230356216430664,79.59249877929688,0.105712890625,0.105712890625,-0.01288604736328125,0.03546142578125,0.834716796875,-0.410888671875,-1.00390625,-2.14404296875,0.10101318359375,2.69287109375,1.484619140625,-0.72119140625,2Electron2Muon,1.0,348.76719142793513,92.10422263914322,92.55748488083815
3,148.00918579101562,54.220462799072266,128.97398376464844,44.223201751708984,0.105712890625,0.105712890625,0.0245819091796875,-0.01290130615234375,-1.303466796875,-0.5499267578125,-0.182952880859375,0.5628662109375,-1.343505859375,-2.009765625,1.7568359375,0.8525390625,2Electron2Muon,1.0,456.898651925117,90.60431724477273,87.62026426389937
4,80.04300689697266,109.19867706298828,6.646315574645996,233.0186004638672,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.68701171875,1.702880859375,1.942626953125,0.3511962890625,1.052978515625,2.0771484375,-1.4140625,0.099853515625,4Muon,1.0,447.42450600540093,91.63265341162906,88.00391388967911
0,37.756744384765625,54.28441619873047,52.622711181640625,36.5148811340332,0.105712890625,0.105712890625,-0.0282440185546875,-0.0042266845703125,-0.195220947265625,0.205902099609375,1.04052734375,0.6199951171875,2.611328125,-0.7562255859375,2.13671875,-0.77001953125,2Electron2Muon,1.0,200.85167340036676,91.80661922969395,89.02473416871693
1,58.72626495361328,25.140092849731445,61.93394470214844,28.03546714782715,0.105712890625,0.105712890625,0.06573486328125,-0.0266571044921875,-1.01806640625,-2.30419921875,-1.87841796875,-2.095703125,-0.910400390625,1.58154296875,1.98681640625,-1.519775390625,2Electron2Muon,1.0,195.3983612613134,90.01091994865338,82.45560797855025
2,84.01655578613281,25.895343780517578,56.56593322753906,57.5809211730957,0.105712890625,0.105712890625,0.0291595458984375,-0.004817962646484375,-1.146728515625,-1.22998046875,-1.258056640625,-1.61962890625,-2.70263671875,0.306396484375,-0.6607666015625,1.598388671875,2Electron2Muon,1.0,227.91496491130172,93.16375839995679,105.27591441666314
3,36.96797561645508,251.70599365234375,30.17055892944336,241.8355712890625,0.105712890625,0.105712890625,0.105712890625,0.105712890625,2.23388671875,1.788330078125,1.811279296875,1.20849609375,-2.1474609375,-3.02587890625,0.5218505859375,-0.4317626953125,4Muon,1.0,573.1530433593553,92.77940263974502,94.23195031512208
4,17.78566551208496,21.990575790405273,18.861976623535156,18.160058975219727,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.615234375,-0.030689239501953125,-0.028987884521484375,-0.5928955078125,-3.072265625,-0.7391357421875,-0.6888427734375,1.22314453125,4Muon,1.0,90.87667033934311,50.27865449198404,32.0337744937504
5,67.9900131225586,13.282510757446289,27.784372329711914,48.168514251708984,0.105712890625,0.105712890625,-0.0222015380859375,-0.0159759521484375,1.37548828125,-0.8453369140625,1.779296875,-0.197265625,-2.4228515625,-0.7598876953125,2.23583984375,1.3251953125,2Electron2Muon,1.0,225.75773822149614,92.66099600492937,90.57550471315679
6,34.993324279785156,35.139801025390625,13.538040161132812,96.42887115478516,0.105712890625,0.105712890625,-0.015655517578125,-0.043182373046875,-1.479248046875,0.147857666015625,-2.38134765625,-0.9171142578125,1.47216796875,-1.41357421875,-2.99560546875,-0.5211181640625,2Electron2Muon,1.0,204.5422407167141,94.22735305733801,89.43248731882916
7,59.73695755004883,45.88801956176758,18.454326629638672,96.21633911132812,0.105712890625,0.105712890625,-0.00478363037109375,0.0355224609375,-1.9345703125,-0.867431640625,-2.154296875,-0.833251953125,2.966796875,1.47802734375,-2.14306640625,-0.4005126953125,2Electron2Muon,1.0,253.61333339202525,91.99244166124933,87.94647951196825
8,56.96529006958008,31.030044555664062,51.471229553222656,37.99664306640625,0.105712890625,0.105712890625,0.0103759765625,0.005535125732421875,-1.179443359375,-1.453369140625,-0.32269287109375,-0.940673828125,0.96044921875,-1.466796875,-2.22021484375,1.285888671875,2Electron2Muon,1.0,192.4292332414569,79.62244219782046,91.30671523421383
0,333.07012939453125,28.229703903198242,176.30580139160156,169.57553100585938,0.105712890625,0.105712890625,0.1134033203125,-0.06103515625,1.053466796875,0.6072998046875,-1.1123046875,-0.5941162109375,1.4501953125,1.72216796875,-1.902587890625,-1.929931640625,2Electron2Muon,1.0,1059.125910165757,50.93326830996424,90.72809158371383
1,36.522674560546875,25.90690040588379,38.73783493041992,19.672876358032227,0.105712890625,0.105712890625,-0.00980377197265625,0.018341064453125,1.89111328125,1.718505859375,-0.109375,2.3662109375,-1.845458984375,0.89111328125,-2.65966796875,3.01513671875,2Electron2Muon,1.0,177.91525715072845,60.49740326100855,88.73320180653587
2,15.56604290008545,74.5103759765625,41.05685806274414,64.67619323730469,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.5440673828125,-1.382080078125,-0.4730224609375,-1.77392578125,1.669921875,-2.85205078125,1.09423828125,-0.2318115234375,4Muon,1.0,247.9361728945879,92.56351339930062,95.85639167756973
3,49.417198181152344,52.087547302246094,46.6488037109375,29.126962661743164,0.105712890625,0.105712890625,-0.006031036376953125,-0.01222991943359375,-0.7384033203125,-1.086181640625,-1.539794921875,-0.47418212890625,-2.22265625,1.9326171875,0.4405517578125,-2.55078125,2Electron2Muon,1.0,187.34522651357068,90.46832435604387,84.25473126656321
4,28.359533309936523,45.25628662109375,61.3015251159668,38.091590881347656,0.105712890625,0.105712890625,-0.013336181640625,-0.00830841064453125,0.329833984375,-1.76708984375,-0.7603759765625,-1.270751953125,0.765380859375,1.183837890625,-2.38818359375,-0.06200408935546875,2Electron2Muon,1.0,215.6975901476687,90.88957161226197,92.15971048039285
5,32.60203170776367,186.95338439941406,41.06761932373047,61.89700698852539,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.3330078125,1.517578125,0.29388427734375,1.040283203125,-1.852294921875,-0.583740234375,0.47003173828125,-1.26416015625,4Muon,1.0,227.4064649204526,93.64745299157116,85.98885170266648
6,20.41893196105957,65.9554672241211,56.62644577026367,44.451332092285156,0.105712890625,0.105712890625,-0.07208251953125,0.06756591796875,-1.374755859375,0.04355621337890625,-2.12158203125,-2.23828125,-0.8304443359375,1.908203125,-2.9091796875,-0.6083984375,2Electron2Muon,1.0,296.03590966672255,91.46632115916317,91.7915969141095
7,34.50172805786133,69.42845153808594,74.20557403564453,15.408037185668945,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.479736328125,-0.83642578125,1.02099609375,-0.580322265625,0.953369140625,-1.164794921875,2.7001953125,-0.208282470703125,4Muon,1.0,303.92405526741646,91.16004779302534,90.14439922807101
8,133.88189697265625,126.44306182861328,55.18777847290039,32.498130798339844,0.105712890625,0.105712890625,-0.0374755859375,0.00455474853515625,-1.747314453125,-1.28125,-1.833251953125,-1.123046875,2.298828125,1.767822265625,-0.5958251953125,1.775146484375,2Electron2Muon,1.0,271.60790018560107,91.68615881256854,84.28457302991093
0,21.7626895904541,20.65079689025879,69.5833740234375,23.809310913085938,0.105712890625,0.105712890625,0.018402099609375,-0.007503509521484375,1.3828125,-0.122314453125,0.8587646484375,1.5478515625,-2.8330078125,-3.08154296875,0.7001953125,-2.30810546875,2Electron2Muon,1.0,154.12258115511293,35.39875239932005,86.11531687374793
1,22.5660343170166,46.393798828125,46.61361312866211,32.449710845947266,0.105712890625,0.105712890625,-0.019989013671875,0.01141357421875,-1.39013671875,0.3800048828125,1.8046875,0.8221435546875,0.3927001953125,-2.0615234375,2.23291015625,-0.5653076171875,2Electron2Muon,1.0,248.90368285644695,89.128579503423,86.34447219545223
2,29.890426635742188,40.699928283691406,28.560806274414062,85.278564453125,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-2.02587890625,-0.5103759765625,-1.16015625,-1.21240234375,2.92041015625,-0.267822265625,0.7657470703125,3.09521484375,4Muon,1.0,196.95776784969397,90.74719121719464,90.71458456509234
3,57.597023010253906,6.445785045623779,17.190217971801758,54.6556510925293,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.28082275390625,-1.435791015625,-1.35888671875,-2.064453125,-1.87939453125,1.31396484375,1.411376953125,2.28955078125,4Muon,1.0,219.45295001216226,53.61474816495414,34.15638868400736
4,37.797000885009766,194.79812622070312,109.06965637207031,180.35647583007812,0.105712890625,0.105712890625,0.031280517578125,-0.048828125,1.255859375,1.77734375,0.018268585205078125,0.158294677734375,2.93017578125,1.963623046875,-1.649169921875,-1.001220703125,2Electron2Muon,1.0,695.6760245989074,91.69230124808303,91.43420985651724
5,68.03993225097656,36.744319915771484,28.987783432006836,13.342155456542969,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.076416015625,-2.12744140625,-1.174560546875,-0.895263671875,1.13623046875,-0.4945068359375,-1.335693359375,2.1298828125,4Muon,1.0,149.00532802138457,91.24265600836006,39.2069428082395
0,37.976654052734375,26.315282821655273,9.25960922241211,33.9537239074707,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.78662109375,-0.474365234375,-1.4345703125,-2.19384765625,-2.47509765625,-3.0107421875,0.2977294921875,0.9637451171875,4Muon,1.0,311.2356353911825,89.28539658352805,18.01473220399833
1,48.492958068847656,37.9423828125,6.0112128257751465,22.664182662963867,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.435791015625,-0.749755859375,-2.02880859375,-1.62646484375,1.73046875,-1.570556640625,2.541015625,-1.033203125,4Muon,1.0,124.14287935515264,90.62870936094892,23.285807046475977
2,10.633438110351562,225.27696228027344,63.328712463378906,129.7816162109375,0.105712890625,0.105712890625,0.005107879638671875,0.0291595458984375,1.468017578125,1.51416015625,-0.12677001953125,0.062896728515625,0.210784912109375,-1.82080078125,1.329345703125,1.267822265625,2Muon2Electron,1.0,556.4865461733524,83.22485536413194,18.101146069711426
3,34.1474609375,32.51576614379883,7.185919284820557,18.55509376525879,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.951904296875,-0.5228271484375,2.17822265625,1.0283203125,-0.7869873046875,3.115234375,1.77880859375,0.8934326171875,4Muon,1.0,205.47484592639404,80.68513573007607,17.16103020899544
4,37.92840576171875,33.175048828125,16.65447998046875,58.411964416503906,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.158782958984375,-1.955322265625,-1.9951171875,-1.32958984375,-2.486328125,1.836181640625,2.2451171875,-0.478515625,4Muon,1.0,184.50917972227165,93.54705338734693,64.58213533988736
5,34.06150817871094,29.03647804260254,18.661449432373047,24.122262954711914,0.105712890625,0.105712890625,0.007030487060546875,-0.0305023193359375,-0.8707275390625,0.9151611328125,-0.35369873046875,2.40087890625,-1.989990234375,1.112060546875,-2.45947265625,0.928466796875,2Electron2Muon,1.0,211.08349286968726,89.67585176466396,89.30687286039498
6,55.730308532714844,97.89513397216797,151.50323486328125,16.323209762573242,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.516845703125,-0.7271728515625,1.74560546875,1.599853515625,1.886962890625,0.6094970703125,-1.964599609375,1.798095703125,4Muon,1.0,578.8807034827053,89.43575262926413,94.97890088665945
7,54.89448165893555,49.31510543823242,28.28668785095215,26.666099548339844,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.683349609375,-0.43756103515625,-1.387939453125,0.8807373046875,2.1650390625,0.097747802734375,-1.91552734375,1.31884765625,4Muon,1.0,194.525489429667,90.32002339414896,94.18933674945902
0,76.73023223876953,43.632442474365234,108.10319519042969,22.74346160888672,0.105712890625,0.105712890625,-0.03204345703125,0.01116943359375,-1.1591796875,0.2255859375,-0.206634521484375,-1.708251953125,1.273681640625,0.9571533203125,-2.27783203125,-1.348388671875,2Electron2Muon,1.0,302.5292536917821,88.57946155772095,92.96504617949344
1,26.17345428466797,69.20663452148438,49.51345443725586,55.696189880371094,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.0875396728515625,0.636962890625,-0.47674560546875,0.733154296875,-0.528564453125,2.67333984375,-1.876708984375,0.28741455078125,4Muon,1.0,227.12229611431238,90.7307296981402,114.68765639594727
2,80.0140609741211,31.21612548828125,42.43195343017578,48.54613494873047,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.316162109375,1.326416015625,0.161407470703125,0.49591064453125,0.5145263671875,2.1962890625,2.96044921875,-0.6976318359375,4Muon,1.0,208.16352511241743,91.2261539158949,89.07807130676821
