,l1_pt,l2_pt,l3_pt,l4_pt,l1_mass,l2_mass,l3_mass,l4_mass,l1_eta,l2_eta,l3_eta,l4_eta,l1_phi,l2_phi,l3_phi,l4_phi,event_type,weight,invariant_mass,invariant_mass_1,invariant_mass_2
0,13.952024459838867,38.5473747253418,9.465601921081543,22.116085052490234,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.458251953125,0.645751953125,1.497802734375,1.34375,-0.78125,2.2509765625,-1.869140625,-0.7210693359375,4Muon,2.5359063148498535,90.30604931349953,50.19820484724713,15.872002970646495
0,31.429018020629883,63.357669830322266,10.46094036102295,48.71958923339844,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.6387939453125,0.3916015625,-1.774658203125,-1.3974609375,-1.302001953125,2.32568359375,-1.429443359375,2.3505859375,4Muon,2.1047160625457764,216.67620738558065,87.32741669966161,43.717675006167006
0,21.943552017211914,35.96645736694336,10.52197551727295,8.590045928955078,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.9326171875,-0.8759765625,-0.8035888671875,-0.3682861328125,-0.937255859375,1.861083984375,1.90966796875,-2.30078125,4Muon,-2.5359063148498535,75.14326400344682,55.384136867065436,16.886751729156
0,49.83770751953125,42.46070861816406,5.552260875701904,5.302194595336914,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.37701416015625,0.44525146484375,1.2841796875,-1.869384765625,-0.229827880859375,2.9619140625,-3.03076171875,1.265380859375,4Muon,2.224883556365967,124.66611823493268,92.02791194068267,26.730752725622235
0,36.56159591674805,25.332904815673828,7.167558193206787,13.285675048828125,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.58837890625,0.44342041015625,0.47174072265625,-0.535400390625,1.82080078125,-0.8797607421875,-0.8092041015625,-2.45654296875,4Muon,1.9659548997879028,89.05521783995555,59.55761885667818,17.6089161343092
0,52.37514114379883,5.811172962188721,18.46878433227539,36.62614440917969,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.04296875,0.9615478515625,-0.2984619140625,-1.04638671875,1.66552734375,-1.549072265625,0.6951904296875,1.672119140625,4Muon,1.8508048057556152,88.78809276659405,53.91891197836352,31.499797340314284
0,18.33427619934082,21.172971725463867,8.469531059265137,19.23738670349121,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.390625,-2.31640625,-2.353515625,-1.31103515625,-2.5341796875,1.024658203125,0.773193359375,-1.50146484375,4Muon,2.581782817840576,90.53728466006265,58.562519305470154,27.027213771084256
0,22.027633666992188,38.87039566040039,8.74667739868164,19.379589080810547,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.27294921875,-0.25469970703125,-0.5242919921875,-0.23797607421875,2.5478515625,-0.6973876953125,-0.06939697265625,2.521484375,4Muon,0.0777057409286499,89.18163433448285,58.446634914261985,25.33611749958601
0,39.98531723022461,14.221386909484863,16.62956428527832,11.552667617797852,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.817138671875,0.119720458984375,0.1186676025390625,0.96142578125,1.2509765625,2.17138671875,2.28466796875,-3.0791015625,4Muon,-2.570063591003418,88.35372242269014,50.20224110650888,17.205184115497072
0,30.34037208557129,23.25269889831543,8.465799331665039,15.187170028686523,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.6322021484375,-0.45086669921875,-0.46051025390625,-0.7244873046875,-1.533447265625,1.36865234375,1.362060546875,-3.1064453125,4Muon,2.4782135486602783,90.44942851973028,60.773628149922594,18.118221448328445
