,l1_pt,l2_pt,l3_pt,l4_pt,l1_mass,l2_mass,l3_mass,l4_mass,l1_eta,l2_eta,l3_eta,l4_eta,l1_phi,l2_phi,l3_phi,l4_phi,event_type,weight,invariant_mass,invariant_mass_1,invariant_mass_2
0,28.091651916503906,54.16063690185547,28.496505737304688,58.372825622558594,0.105712890625,0.105712890625,-0.01343536376953125,-0.040863037109375,0.7762451171875,2.14501953125,2.03662109375,1.9140625,1.34130859375,-2.39599609375,2.228515625,-0.758544921875,2Electron2Muon,1.0,187.4844628506502,94.26579319546669,81.48043345879233
1,49.9283561706543,43.21149444580078,67.96058654785156,14.311138153076172,0.105712890625,0.105712890625,0.01015472412109375,0.004619598388671875,0.2139892578125,-0.658935546875,0.6761474609375,1.208251953125,-2.37744140625,1.8212890625,-0.109283447265625,-0.877197265625,2Muon2Electron,1.0,205.4411512407296,90.4780775159466,28.77201988401949
2,63.6616096496582,34.03247833251953,50.32524490356445,60.32085418701172,0.105712890625,0.105712890625,-0.011688232421875,-0.01189422607421875,0.449951171875,0.5587158203125,-1.482666015625,-1.569580078125,0.5523681640625,-2.32861328125,2.3037109375,-1.8056640625,2Electron2Muon,1.0,323.00392916411647,92.4424607898472,97.66004377695165
3,53.6683349609375,29.394981384277344,48.717674255371094,43.0451545715332,0.105712890625,0.105712890625,0.0232696533203125,-0.0112762451171875,-0.33538818359375,1.047119140625,1.18359375,0.9686279296875,-1.767578125,2.421875,-2.74609375,1.05126953125,2Electron2Muon,1.0,206.5302761822288,90.87435458455987,87.26722126916734
4,57.55339050292969,16.250274658203125,17.65130043029785,56.942283630371094,0.105712890625,0.105712890625,-0.0009908676147460938,-0.020904541015625,-0.032623291015625,1.970703125,0.6112060546875,-1.767333984375,-0.9674072265625,-3.10986328125,-1.902099609375,1.75927734375,2Muon2Electron,1.0,294.5543549947845,89.84364941803221,112.61481189149549
5,66.55245208740234,21.39215660095215,16.035768508911133,10.001006126403809,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.137451171875,0.4468994140625,0.6064453125,1.011962890625,-1.144775390625,2.05224609375,2.09375,-1.156494140625,4Muon,1.0,112.13802066107885,79.97981679411534,25.81399271327783
6,14.995979309082031,28.789710998535156,33.29627227783203,39.45412063598633,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-1.55810546875,1.2158203125,-1.221923828125,0.2034912109375,0.860107421875,-2.541015625,2.517578125,0.12548828125,4Muon,1.0,187.76864650587976,88.19542806974071,87.7694505616093
7,46.8022575378418,45.334877014160156,18.440841674804688,6.754944801330566,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.37884521484375,-0.28314208984375,-1.373291015625,-1.04248046875,3.0859375,-0.0038747787475585938,0.27532958984375,1.762939453125,4Muon,1.0,125.40805808009179,92.20022449623359,15.563170250594379
0,107.40242767333984,68.21614074707031,42.9534912109375,38.243038177490234,0.105712890625,0.105712890625,-0.0150299072265625,0.04278564453125,0.6959228515625,0.6514892578125,0.9287109375,2.27392578125,-0.8031005859375,-1.941650390625,0.6983642578125,2.6767578125,2Electron2Muon,1.0,281.6864585360172,92.35403236427672,89.64626473496999
1,32.591773986816406,42.25276184082031,9.054888725280762,30.38324546813965,0.105712890625,0.105712890625,0.005207061767578125,-0.0198974609375,1.368408203125,0.0811920166015625,-1.820556640625,1.65234375,0.43914794921875,-2.7890625,-2.89501953125,1.16015625,2Electron2Muon,1.0,189.0176022691043,90.07101449256093,95.97771847250159
2,41.706764221191406,84.89030456542969,26.431903839111328,61.07935333251953,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.7708740234375,1.927978515625,1.10888671875,0.6572265625,-0.220428466796875,-1.23974609375,2.810546875,2.3232421875,4Muon,1.0,247.9316928039882,93.08260817805197,26.661757920418378
3,72.9295654296875,22.292648315429688,60.73771667480469,18.816164016723633,0.105712890625,0.105712890625,0.0116729736328125,0.0085296630859375,-0.3380126953125,0.82177734375,-0.75244140625,-2.06982421875,-1.791748046875,0.6729736328125,1.95947265625,-0.5343017578125,2Electron2Muon,1.0,228.06152772850072,90.71717346262895,79.97318515771458
0,83.57106018066406,21.672378540039062,39.197044372558594,101.77474975585938,0.105712890625,0.105712890625,-0.01177978515625,-0.0251617431640625,1.44189453125,0.572509765625,-0.233489990234375,0.2413330078125,-2.7958984375,-0.6851806640625,1.566162109375,-0.37811279296875,2Muon2Electron,1.0,294.0529393060054,83.31811260759572,108.65538947385006
1,77.95585632324219,14.097749710083008,28.019691467285156,95.25102996826172,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.0724334716796875,-1.571533203125,1.572509765625,1.806396484375,-2.42529296875,0.5469970703125,-2.244140625,0.4132080078125,4Muon,1.0,358.40762318821834,89.81648917474561,101.03761940454629
2,21.42219352722168,51.7133674621582,56.27198028564453,19.446414947509766,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.7496337890625,0.90869140625,2.24169921875,0.510986328125,2.4033203125,-0.49530029296875,2.7158203125,-0.38677978515625,4Muon,1.0,242.19406062133066,90.43312279332075,92.50784151081008
0,26.64952278137207,45.7108154296875,31.15342140197754,67.37016296386719,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.7730712890625,-0.80908203125,-1.552734375,-1.699951171875,-1.92041015625,0.6627197265625,0.155792236328125,-2.8701171875,4Muon,1.0,247.05470781122156,90.79374198730306,91.72121075181364
