,l1_pt,l2_pt,l3_pt,l4_pt,l1_mass,l2_mass,l3_mass,l4_mass,l1_eta,l2_eta,l3_eta,l4_eta,l1_phi,l2_phi,l3_phi,l4_phi,event_type,weight,invariant_mass,invariant_mass_1,invariant_mass_2
0,86.9953842163086,18.818408966064453,24.590856552124023,125.4186019897461,0.105712890625,0.105712890625,0.105712890625,0.105712890625,-0.5224609375,0.5015869140625,-0.627197265625,0.003173828125,-2.8447265625,0.41827392578125,1.403076171875,-0.3389892578125,4Muon,1.0,261.7677177211877,91.63271118364389,92.12096746205957
1,70.8723373413086,67.53155517578125,27.558521270751953,100.31497192382812,0.105712890625,0.105712890625,0.0266876220703125,0.034332275390625,0.7799072265625,0.7705078125,-1.6875,-0.30059814453125,-2.14697265625,-0.72021484375,-3.01513671875,2.40087890625,2Electron2Muon,1.0,350.3452247143743,90.5465381089344,90.43411931073919
2,48.35908126831055,44.3642578125,34.9841194152832,61.02291488647461,0.105712890625,0.105712890625,0.0076141357421875,0.01690673828125,0.4005126953125,0.01894378662109375,0.6138916015625,0.701416015625,0.100860595703125,2.6513671875,0.77734375,-2.072265625,2Electron2Muon,1.0,195.30333551296098,90.38723038347152,91.5149290924499
3,22.813066482543945,147.84434509277344,18.043264389038086,140.95046997070312,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.1236419677734375,0.706787109375,-0.909423828125,-0.3265380859375,2.7822265625,-1.878662109375,-2.48876953125,1.0126953125,4Muon,1.0,379.71547254466344,90.95410495460665,103.61387599213467
4,55.402442932128906,22.467918395996094,55.87948989868164,25.189435958862305,0.105712890625,0.105712890625,0.0201416015625,-0.022308349609375,-1.35595703125,0.684326171875,0.689697265625,1.542724609375,-2.8720703125,-0.9603271484375,1.553955078125,-1.637939453125,2Electron2Muon,1.0,270.36967756973235,102.81098394345568,81.9426208654176
0,65.84832000732422,26.63623809814453,12.691743850708008,16.643888473510742,0.105712890625,0.105712890625,0.105712890625,0.105712890625,1.556884765625,1.910400390625,1.738525390625,-0.5015869140625,1.46240234375,-1.90771484375,-1.23388671875,-0.7222900390625,4Muon,1.0,163.67883795083856,84.53471656287059,40.47950888465601
0,49.40945816040039,46.27606201171875,46.26423263549805,49.668190002441406,0.105712890625,0.105712890625,0.010406494140625,-0.0211944580078125,1.470458984375,0.83056640625,0.3388671875,1.144287109375,-2.39892578125,-0.2559814453125,-3.072265625,1.1083984375,2Electron2Muon,1.0,208.02030462300826,89.54081658047821,92.18903028122072
1,19.192853927612305,86.74909210205078,127.0709228515625,47.105403900146484,0.105712890625,0.105712890625,0.031524658203125,-0.0161285400390625,-1.164306640625,-2.1416015625,-0.9949951171875,-0.22857666015625,-1.5146484375,1.728515625,-1.12060546875,-1.96630859375,2Electron2Muon,1.0,334.82471487497094,91.452681808605,87.88309201229487
2,28.93024253845215,29.942075729370117,41.289058685302734,18.816425323486328,0.105712890625,0.105712890625,0.01070404052734375,0.00469970703125,-1.26318359375,0.873291015625,0.42401123046875,0.65283203125,-1.7109375,1.662353515625,-0.7423095703125,2.8251953125,2Electron2Muon,1.0,163.37673002966957,95.52506282646742,54.86065085509877
0,28.212337493896484,25.378948211669922,5.1730451583862305,9.550997734069824,0.105712890625,0.105712890625,0.105712890625,0.105712890625,0.4505615234375,-1.8974609375,1.35986328125,0.9530029296875,2.41845703125,-0.391845703125,-1.890869140625,1.4990234375,4Muon,1.0,133.00958943927083,94.42141451123926,14.244823395060807
1,24.14841079711914,24.960914611816406,7.961003303527832,49.98875427246094,0.105712890625,0.105712890625,0.006534576416015625,0.0216217041015625,0.36871337890625,-0.989501953125,2.00830078125,-1.1142578125,-1.875732421875,-2.2578125,-2.7666015625,1.904052734375,2Electron2Muon,1.0,162.02076052017182,37.157892101864306,95.3215219311909
